standard_form,dialect_form
조금 저는 사람들이 솔직했으면 좋겠는 게 맛없 아무리 돈을 받고 광고하는 거여도 맛없으면 맛없다 맛있으면 맛없 맛있다 할 수 있잖아요?,쫌 저는 사람들이 솔직했으면 좋겠는 게 맛없 아무리 돈을 받고 광고하는 거여도 맛없으면 맛없다 맛있으면 맛없 맛있다 할 수 있잖아요?
삼십 분이면 다 먹는 그 치킨 한 마리 먹을려고 막 세네 시간 뼈 빠지게 일해야 되고 약간 그런 것도 조금,삼십 분이면 다 먹는 그 치킨 한 마리 먹을려고 막 세네 시간 뼈 빠지게 일해야 되고 약간 그런 것도 쫌
속상하기도 하고 그렇다 보니까 네고 왕 보면은 또 조금,속상하기도 하고 그렇다 보니까 네고 왕 보면은 또 쫌
근데 그래도 저는 이제 제 친구가 조금 유명한 인플루언서고 유명한 그 화장품,근데 그래도 저는 이제 제 친구가 쫌 유명한 인플루언서고 유명한 그 화장품
그렇게 욕먹고 악플 받고 하는 거 보면은 진짜 조금 안타깝고 불쌍하고,그렇게 욕먹고 악플 받고 하는 거 보면은 진짜 쫌 안타깝고 불쌍하고
그래서 어 조금,그래서 어 쫌
그런 것도 에스엔에스의 조금 장점이자 단점이 아닐까 싶기도 하고,그런 것도 에스엔에스의 쫌 장점이자 단점이 아닐까 싶기도 하고
어 오히려 그런 제재는 괜찮다고 생각을 해요 그리고 아까 제가 말을 조금,어 오히려 그런 제재는 괜찮다고 생각을 해요 그리고 아까 제가 말을 쫌
사람들이 아 이건 광고다 그래서 물론 아 조금 좋은 거는 부각시키고 안 좋은 점이 있어도 조금 숨기겠지,사람들이 아 이건 광고다 그래서 물론 아 쫌 좋은 거는 부각시키고 안 좋은 점이 있어도 쫌 숨기겠지
그 되게 비쌌던 거 같애요 그래서 그 네고를 하고 다니는 광희도 광희도 조금,그 되게 비쌌던 거 같애요 그래서 그 네고를 하고 다니는 광희도 광희도 쫌
여러 사람들 조금 좋아하는 편이고,여러 사람들 쫌 좋아하는 편이고
뭐 이런 식으로 조금 다 가보고 싶은 콘서트가 있는데 음 막상 잘 안 찾아 안 찾는 게 아니고,뭐 이런 식으로 쫌 다 가보고 싶은 콘서트가 있는데 음 막상 잘 안 찾아 안 찾는 게 아니고
기회가 생기지도 않아서 지금 조금 그런 상태고?,기회가 생기지도 않아서 지금 쫌 그런 상태고?
대신에 음 조금 뭐라고 해야 되지 신나는 노래들 아이돌 노래들?,대신에 음 쫌 뭐라고 해야 되지 신나는 노래들 아이돌 노래들?
어떤 거를 많이 부른다라고 하기가 조금 그렇고,어떤 거를 많이 부른다라고 하기가 쫌 그렇고
분위기 따라서 이제 저는 선택적으로 이렇게,분위기 따라서 이제 저는 선택적으로 이케
저는 남자지만 방탄소년단 노래를 그냥 노래방에서 불러버리거든요 근데 이제,저는 남자지만 방탄소년단 노래를 걍 노래방에서 불러버리거든요 근데 이제
혹시 아이돌 노래라 하면 어떤 노래들이 있는지 뭐 어떤 아이돌을 좋아하시는지 그런 거를 조금 질문드리고 싶네요?,혹시 아이돌 노래라 하면 어떤 노래들이 있는지 뭐 어떤 아이돌을 좋아하시는지 그런 거를 쫌 질문드리고 싶네요?
벅차 올라 하면서 별 건 아닌데 막 그냥,벅차 올라 하믄서 별 건 아닌데 막 그냥
조금 히트한 노래들 불타오르네,쫌 히트한 노래들 불타오르네
조금 빠져가지고 찾아보는 약간 그런 스타일이라서,쫌 빠져가지고 찾아보는 약간 그런 스타일이라서
춤이랑 노래랑 너무 좋다 하면서 이제 조금 방탄소년단에 완전 조금,춤이랑 노래랑 너무 좋다 하면서 이제 쫌 방탄소년단에 완전 쫌
이건 짧을 짧은 질문일 수도 있지만 혹시 남자가 방탄소년단 좋아한다 하면 조금,이건 짧을 짧은 질문일 수도 있지만 혹시 남자가 방탄소년단 좋아한다 하면 쫌
이상하게 보이나요 제가 이상하게 보이는지 조금 궁금한데,이상하게 보이나요 제가 이상하게 보이는지 쫌 궁금한데
그 다이나마이트 노래 이렇게 외국에서 미국에서 공연하고 뭐,그 다이나마이트 노래 이케 외국에서 미국에서 공연하고 뭐
또 어디 일자로 쭈르룩 앉아가지고 춤 안 추고 노래만 이렇게 밴드,또 어디 일자로 쭈르룩 앉아가지고 춤 안 추고 노래만 이케 밴드
조금 궁금합니다 제가 그 어플을 조금 사용을 잘 못해가지고,쫌 궁금합니다 제가 그 어플을 쫌 사용을 잘 못해가지고
했었어가지고 어플 같은 게 어떤 거 들으시는지 조금 추천하실 만한 게 있나요?,했었어가지고 어플 같은 게 어떤 거 들으시는지 쫌 추천하실 만한 게 있나요?
들을 때 그 조금 철새처럼 막 왔다 갔다 하는 편이거든요 그 어디에서 만약에,들을 때 그 쫌 철새처럼 막 왔다 갔다 하는 편이거든요 그 어디에서 만약에
편향적이라고 해야 되나 고인 물이라고 해야 되나 약간 듣는 노래만 계속 듣는 그런 경향이 있어서 저 스스로도 조금 지겹다라는 느낌을 받을 때가 있어요,편향적이라고 해야 되나 고인 물이라고 해야 되나 약간 듣는 노래만 계속 듣는 그런 경향이 있어서 저 스스로도 쫌 지겹다라는 느낌을 받을 때가 있어요
바탕으로 그거를 데이터를 어찌 분석을 하나 봐요,바탕으로 그거를 데이터를 어트게 분석을 하나 봐요
그런 음악 스트리밍 사이트가 조금,그런 음악 스트리밍 사이트가 쫌
이런 거 보는데 제가 조금 좋아하고 찾아보고 싶은,이런 거 보는데 제가 쫌 좋아하고 찾아보고 싶은
가수나 아티스트들은 어 음악 프로그램에는 안 나오는 잘 안 나오는 그런 아티스트들인 거 같애서 노리진 않았지만 조금 그렇게,가수나 아티스트들은 어 음악 프로그램에는 안 나오는 잘 안 나오는 그런 아티스트들인 거 같애서 노리진 않았지만 쫌 그렇게
네 근데 음악 프로그램이 요새 보면 조금 신 신인 아이돌이나 뭐,네 근데 음악 프로그램이 요새 보면 쫌 신 신인 아이돌이나 뭐
조금 아이돌 위주로 어 무대 구성이 되어 있어서,쫌 아이돌 위주로 어 무대 구성이 되어 있어서
저랑도 조금 제 음악적 그거랑은 쪼끔 안 맞,저랑도 쫌 제 음악적 그거랑은 쪼끔 안 맞
현재 저랑은 조금 안 맞는 거 같애요 과거에 저가 군대에 있을 때는 굉장히 잘 맞는,현재 저랑은 쫌 안 맞는 거 같애요 과거에 저가 군대에 있을 때는 굉장히 잘 맞는
그런 예능들 중에 조금 특별히 좋아하시는 게 있는지,그런 예능들 중에 쫌 특별히 좋아하시는 게 있는지
좋아하신 게 있다면 혹시 그 이유가 무엇인지 조금,좋아하신 게 있다면 혹시 그 이유가 무엇인지 쫌
그래서 굉장히 이제 건강하다고 우리 아저씨는 누구보다 건강하다고 생각했던 사람이,그래서 굉장히 인자 건강하다고 우리 아저씨는 누구보다 건강하다고 생각했던 사람이
그러니깐 너무 심하게 아파 갖고 인제 서울에서 수술을 하고,그니깐 너무 심하게 아파 갖고 인제 서울에서 수술을 하고
저는 감기를 한번 들면 감기를 한 달씩 하는 굉장히 약골이였거든요?,저는 감기를 한번 들면 감기를 한 달씩 하는 억수로 약골이였거든요?
그래 가지고  아저씨가 갑자기 그렇게 아파 가지고,그래 가지고  아저씨가 갑자기 그리 아파 가지고
너무너무 놀랬던 이제 기억이 나 가지고 그 뒤로는,너무너무 놀랬던 인자 기억이 나 가지고 그 뒤로는
거기 가면,그기 가면
논 다소 수술 후유증이 있어 가지고 자기가 조심을 조금 하고 그런 부분은 있지만,논 다소 수술 후유증이 있어 가지고 자기가 조심을 쫌 하고 그런 부분은 있지만
그래서 건강에 대해서 조금 더 생각을 하게 되는 거 같습니다,그래서 건강에 대해서 쫌 더 생각을 하게 되는 거 같습니다
그래서 건강을 지키기 위해서 운동을 조금 해야지 하면서 생각은 하는데,그래서 건강을 지키기 위해서 운동을 쫌 해야지 하면서 생각은 하는데
그냥 상대적으로 저는 운동을 굉장히 안 좋아하다 보니까 조금 많이 통통하죠  근데,그냥 상대적으로 저는 운동을 굉장히 안 좋아하다 보니까 쫌 많이 통통하죠  근데
그래 우리 우리 어릴 때는 그 운동회가 굉장히 성 많이 이렇게 활성화되었을 때였거든요?,그래 우리 우리 어릴 때는 그 운동회가 굉장히 성 많이 이케 활성화되었을 때였거든요?
그게 이제 운동이라고 하고 운동을 그 운동이라 생각하면,그게 인자 운동이라고 하고 운동을 그 운동이라 생각하면
굉장히 많은 영영제를 어머니가 챙겨주셔 가지고 드시고 계신다 하셨는데,억수로 많은 영영제를 어머니가 챙겨주셔 가지고 드시고 계신다 하셨는데
그 어르신 말씀하시길 젊을 때 보약도 젊을 때 먹어야 효과가 있다,그 어르신 말씀하시길 젊을 때 보약도 젊을 때 먹어야 효과가 있디야
그렇게 말씀하셔서 제가 그때 당시에 좀 가격이 비쌌었어요,그렇게 말씀하셔가 제가 그때 당시에 좀 가격이 비쌌었어요
근데 그 그때는 이제 축농증으로 인해서 목소리가 굉장히 안 좋았어요,근데 그 그때는 인자 축농증으로 인해서 목소리가 굉장히 안 좋았어요
그냥 기침은 조금 덜하는데 콧물이 나와서 사람이 너무,그냥 기침은 쫌 덜하는데 콧물이 나와서 사람이 너무
이렇게 지저분하고 더럽잖아요 콧물이 계속 나오니까 용 코 밑에 빨개지고,이렇게 지저분하고 추접잖아요 콧물이 계속 나오니까 용 코 밑에 빨개지고
축농증까지 이렇게 그러니까 이렇게 심하게 이렇게 넘어가지가 않더라고요 감기가,축농증까지 이래 그니까 이렇게 심하게 이렇게 넘어가지가 않더라고요 감기가
챙겨 먹기가 조금 그래서 그런데 그 여,챙겨 먹기가 쫌 그래서 그런데 그 여
그래 제가 지금 인제 쪼금 사람이 사십 대하고 오십 대하고 조금 다른 게 뭐냐면,그래 제가 지금 인제 쪼금 사람이 사십 대하고 오십 대하고 쫌 다른 게 뭐냐면
돼지기름에 비타민 디가 많다고 해서 저는 어떻게 삼겹살 이런 거를 잘 먹기 때문에,돼지기름에 비타민 디가 많다고 해서 저는 어떻게 삼겹살 이런 거를 잘 먹기 땜에
근데 그 야채하고 과일하고 쪼금 이렇게 병행해서 같이 섞어서 또 이렇게,근데 그 야채하고 과일하고 쪼금 이렇게 병행해서 같이 썪어서 또 이렇게
그냥 제가 인제 뭐 영양제도 잘 챙겨 먹고 나름 굉장히 건강 관리를 잘하고 있다고,걍 제가 인제 뭐 영양제도 잘 챙겨 먹고 나름 억수로 건강 관리를 잘하고 있다고
그래 갖고 아 언니 이렇게 갖고 안 되겠다 내 화장실 가서 얼굴 씻고 올 게 이렇게 하고 걸음 한 세 걸음 걸었나?,그래 갖고 아 언니야 이래 갖고 안 되겠다 내 화장실 가서 얼굴 씻고 올 게 이렇게 하고 걸음 한 세 걸음 걸었나?
그 맥박으로 인해 가지고 사람이 항상 이렇게 보면은,그 맥박으로 인해 가지고 사람이 항상 이래 보면은
그 주위에서 아 너 많이 피곤하나 막 이렇게 얘기를 많이 들었었어요 평상시에 그래,그 주위에서 아 니 많이 피곤하나 막 이렇게 얘기를 많이 들었었어요 평상시에 그래
그게 이제 맥박이 너무 느리다 보니까,그게 인자 맥박이 너무 느리다 보니까
나는 일단 연어 같은 거 당기고 연어나 초밥이나?,나는 일단 연어 같은 거 땡기고 연어나 초밥이나?
그때 갔던 도 괜찮고,그때 갔던 도 괘안고
너 너는 뭐 당겨?,니 니는 뭐 땡겨?
아 우리 고기 먹기에는 돈이 조금 부족하고,아 우리 고기 먹기에는 돈이 쫌 부족하고
스시 우리 맨날 만날 때마다 조금 스시를  맨날 먹어가지구,스시 우리 맨날 만날 때마다 쫌 스시를  맨날 먹어가지구
근데 거기는 조금 결혼식 부페,근데 거기는 쫌 결혼식 부페
아 고민 조금 해 봐야 되는데,아 고민 쫌 해 봐야 되는데
응  거기도 괜찮은데 요즘 맛 바뀌었다는 소리도 있고,응  거기도 괜찮은데 요즘 맛 바꼈다는 소리도 있고
뭐 이렇게 약간 쪼끔쪼끔 쪼끔씩 여러 개 이렇게 나오는 그거 먹어 봤는데 괜 나 나는 괜찮더라고,뭐 이렇게 약간 쪼끔쪼끔 쪼끔씩 여러 개 이렇게 나오는 그거 먹어 봤는데 괜 나 나는 괘안더라고
근데 아 텐동도 괜찮고 도 내가 많이 들어 봤어,근데 아 텐동도 괘안고 도 내가 많이 들어 봤어
그래서 도 괜찮고 아 아니면 막,그래서 도 괘안고 아 아니면 막
조금 당기고 근데,쫌 땡기고 근데
금 너는 어 는 아예 별로냐?,금 니는 어 는 아예 별로가?
뭐 아 너 술 좋아,뭐 아 니 술 좋아
민트 좋아하니?,민트 좋아하나?
좋아하니 그러면 갈까?,좋아하나 그러면 갈까?
아님 아니면 또 뭐 없나 너 뭐 먹고 싶은 거,아님 아니면 또 뭐 없나 니 뭐 먹고 싶은 거
그래  안 가 봤니?,그래  안 가 봤나?
고르곤졸라 알지 그거 한 판 그냥 꽁짜로 주니까 우리 배 크니까,고르곤졸라 알제 그거 한 판 그냥 꽁짜로 주니까 우리 배 크니까
근데 난 어 그런 것도 괜찮다,근데 난 어 그런 것도 괘안다
그 샤 뭐냐 그 스파게티 이런 것도 괜찮고,그 샤 뭐고 그 스파게티 이런 것도 괘안고
아 그 스파게티 하니까 생각나는데,아 그 스파게티 카니까 생각나는데
어 어디냐 그 영대 본점 있는 그 아,어 어디고 그 영대 본점 있는 그 아
바질 막 리조또 일 스파게티 이런 것도 당긴다,바질 막 리조또 일 스파게티 이런 것도 땡긴다
너는 바질 좋아하니?,니는 바질 좋아하나?
너한테 소개 주고 시켜 싶은 데가 두 개 있단 말이야 하나는,니한테 소개 주고 시켜 싶은 데가 두 개 있단 말이야 하나는
너 그 뭐지 전 남친 토스트 아니?,니 그 뭐지 전 남친 토스트 아나?
모르니?,모르나?
나 옛날에 토익 학원 근처에,내 옛날에 토익 학원 근처에
그것도 괜찮고 아니면 거기 봉산동에서 조금 올라가서 그,그것도 괜찮고 아니면 거기 봉산동에서 쫌 올라가서 그
거기밖에 생각 안 나는데 카페 너 생각해 놓은 데 있니?,거기밖에 생각 안 나는데 카페 니 생각해 놓은 데 있나?
네가 말했던 네가 전 남친 토스트 하니까 갑자기 그것도 맛있을 거 같고,니가 말했던 니가 전 남친 토스트 하니까 갑자기 그것도 맛있을 거 같고
근데 내가 카페를 잘 모른다 해가지고,근데 내가 카페를 잘 모른다 캐가지고
너 너는 가면 커피 먹 마실 거냐?,니 니는 가면 커피 먹 마실 거가?
근데 가게가 좁거든 조금 많이 그래 가지고,근데 가게가 쫍거든 쫌 많이 그래 가지고
아 너무 내가 너 기대치를 너무 높여 놓은 게 아닌가 싶기도 한데,아 너무 내가 니 기대치를 너무 높여 놓은 게 아닌가 싶기도 한데
이 이제껏 먹었던 티라미수 맛이 아니라구  맛있어 거기는 거기 뭐지 조금,이 이제껏 먹었던 티라미수 맛이 아니라구  맛있어 거기는 거기 뭐지 쫌
자리도 완전 편하고 가게도 조금 넓고 일단 사장님이 완전 친절하셔 일단 문,자리도 완전 편하고 가게도 쫌 넓고 일단 사장님이 완전 친절하셔 일단 문
완전 새로운 맛 완전 조금 맛있어,완전 새로운 맛 완전 쫌 맛있어
아 근데 우리 밥 먹을 데 일단 정해야 되는데 그렇지?,아 근데 우리 밥 먹을 데 일단 정해야 되는데 그치?
고기 튀김 이거 구워 돌판에 구워 먹는 거 뭐라,고기 튀김 이거 꾸워 돌판에 꾸워 먹는 거 뭐라
아 롤 너  가 봤어 근데 음 내가 메뉴판을 봤거든?,아 롤 니  가 봤나 근데 음 내가 메뉴판을 봤거든?
근데 막 되게 많이 파는데 되게,근데 막 디게 마이 파는데 디게
그것도 괜찮고,그것도 괘안고
어 네가 말한 샤브 샤 샤브도 괜찮 아 마라탕도,어 니가 말한 샤브 샤 샤브도 괘안 아 마라탕도
아니다 근데 마라탕은 한번,아이다 근데 마라탕은 한번
두 시 두 시간 정도 먹겠지 그러면 두 시간 먹고,두 시 두 시간 정도 먹겠지 그면 두 시간 먹고
어제 봤거든 인스타에서 어제 그 오늘부터 팝업 스토어 연다는 거야,어제 봤거든 인스타에서 어제 그 오늘부터 팝업 스토어 연다는 겨
브라운 봤어 브라운 치즈 #머시기 와플?,브라운 봤어 브라운 치즈 머시기 와플?
너는 그냥 먼저 가야 가야 된다,너는 그냥 먼저 가야 가야 된디
아이폰 봐야 되는데 아이폰 나 혼자 볼까?,아이폰 봐야 되는데 아이폰 내 혼자 볼까?
아 근데 와플 하니까 와플도 당긴다,아 근데 와플 하니까 와플도 땡긴다
근데 백화점은 조금,근데 백화점은 쫌
그런 거 우리 샤브샤브랑 너무 얽혀 있다 그렇지?,그런 거 우리 샤브샤브랑 너무 얽혀 있다 그치?
조금 완전 부수는 느낌?,쫌 완전 뿌수는 느낌?
진짜 그냥 거의 고기 다 털고 오기 때문에,진짜 걍 거의 고기 다 털고 오기 때문에
그래서 어 네가 말한 파스타 괜찮고,그래서 어 니가 말한 파스타 괜찮고
너는 뭐 또 생각나는 거 있니?,니는 뭐 또 생각나는 거 있나?
어 약간 조금 색다르지 않음?,어 약간 쫌 색다르지 않음?
응 닭불고기 괜찮다 갈비찜도,응 닭불고기 괘안다 갈비찜도
어 뭔가 안 먹은 지도 되게 오래된 거 같고,어 뭔가 안 먹은 지도 디게 오래된 거 같고
아 그 요 주변에 닭갈비 구워 먹는 데 없지 내가,아 그 요 주변에 닭갈비 꾸워 먹는 데 없제 내가
닭갈비 그냥 숯불에 구워 먹는 그 집을 갔는데,닭갈비 그냥 숯불에 꾸워 먹는 그 집을 갔는데
뭐라 해야 되나 가 진짜 그,머라 해야 되나 가 진짜 그
이런 게 아니라 뭔가 다른 느낌이었어 너 먹어 봤니?,이런 게 아니라 뭔가 다른 느낌이었어 니 먹어 봤나?
아 근데 양이 진짜 작고 가격은 비싸더라 그래서,아 근데 양이 진짜 짝고 가격은 비싸더라 그래서
아니면 조금 우리 조금 특 오늘 조금 특별한 날이니깐,아니면 쫌 우리 쫌 특 오늘 쫌 특별한 날이니깐
들어 봤니 거기 조금 약간,들어 봤나 거기 쫌 약간
조금 가성 그래도 그나마 가성비 좋은 고기?,쫌 가성 그래도 그나마 가성비 좋은 고기?
너도  가면 알 거야 거기도,니도  가면 알 거야 거기도
막 음식이 엄청 맛있었다기보다는 뭔가 분위기라 해야 되나 그냥 카 아니 아 카페래,막 음식이 엄청 맛있었다기보다는 뭔가 분위기라 해야 되나 그냥 카 아이 아 카페래
거기도 괜찮고 근데 난 이,거기도 괘안고 근데 난 이
그러면 한 이만 원 정도 하지?,그면 한 이만 원 정도 하제?
맨날 뷔페  근데 이제는 나 뷔페 안 간지 조금 오래됐거든?,맨날 뷔페  근데 이제는 내 뷔페 안 간지 쫌 오래됐거든?
아 근데 그 나 생긴 지 얼마 안 돼서 그런지 모르겠는데,아 근데 그 내 생긴 지 얼마 안 돼서 그런지 모르겠는데
수성못에도 그 샤 아 뭐냐 그거,수성못에도 그 샤 아 뭐고 그거
맛있었어 너도,맛있었어 니도
너 너도 연어 좋아하지?,니 니도 연어 좋아하제?
너무 느끼해 많이 먹으면 아 거기  위에 있는 데 맞지?,너무 느끼해 많이 먹으면 아 거기  위에 있는 데 맞제?
옛날에 이라고 아니?,옛날에 이라고 아나?
조금 많이 정이 조금 많이 들고,쫌 많이 정이 쫌 많이 들고
반겨 주고 막 뛰어나와서 막 안아 주고 이런 게 되게 조금,반겨 주고 막 뛰어나와서 막 안아 주고 이런 게 되게 쫌
조금 많이 옛날 사람이거든요 그래서 짐승은 집에서,쫌 많이 옛날 사람이거든요 그서 짐승은 집에서
그래서 만약에 기회가 돼서 독립을 하게 된다면,그서 만약에 기회가 돼서 독립을 하게 된다면
그래서 아 그냥 그렇구나 내가 조금 준비를 많이 해야겠구나라고 이렇게 생각했는데,그래서 아 그냥 그렇구나 내가 쫌 준비를 많이 해야겠구나라고 이렇게 생각했는데
제가 조카가 있거든요 그래서 조카가,제가 조카가 있거든요 그서 조카가
해코지하면 어떡하냐 뭐 이렇게 막 얘기를 하고 했었는데,해꼬지하면 어떡하냐 뭐 이렇게 막 얘기를 하고 했었는데
제가 좀 관리를 잘해주고 인제 뭐 털 관리랑 바 발톱 손톱 이런 거 관리를 조금,제가 좀 관리를 잘해주고 인제 뭐 털 관리랑 바 발톱 손톱 이런 거 관리를 쫌
뭐 이런 거에 대해서는 되게 조금,뭐 이런 거에 대해서는 되게 쫌
주의를 조금 해야 된다고 생각을 해요,주의를 쫌 해야 된다고 생각을 해요
어떤 사람들은 보면 중성화를 시키는 게 조금 약간 동물에 대한 학대라고 막,어떤 사람들은 보면 중성화를 시키는 게 쫌 약간 동물에 대한 학대라고 막
좋은 게 인제 일단 애들 수명도 조금 길어지고 애들이 스트레스도 덜 받고,좋은 게 인제 일단 애들 수명도 쫌 길어지고 애들이 스트레스도 덜 받고
조금 이렇게 뭐 학대라고 생각을 하시거나 아니면 뭐 아 해야 된다 이렇게,쫌 이렇게 뭐 학대라고 생각을 하시거나 아니면 뭐 아 해야 된다 이렇게
그리고 이 사후 관리까지 하면서 이 아이들이 어떻게 지내는지 확인까지 다 하고 다른 사람들 해코지 못 하게,그리고 이 사후 관리까지 하면서 이 아이들이 어떻게 지내는지 확인까지 다 하고 다른 사람들 해꼬지 못 하게
길고양이들한테 밥 주는 거에 대해서 조금 안 좋게 봤는데 만약에,길고양이들한테 밥 주는 거에 대해서 쫌 안 좋게 봤는데 만약에
한테 쪼금 물어본 게 조금 물어보고 싶은 게 되게 많거든요,한테 쪼금 물어본 게 쫌 물어보고 싶은 게 되게 많거든요
조금 사람을 그리워하고 뭐,쫌 사람을 그리워하고 뭐
인제 사람한테 예쁨 받고 싶어하고 뭐 이런 욕구가 조금 있는 애들도 있어요 그래가지고,인제 사람한테 예쁨 받고 싶어하고 뭐 이런 욕구가 쫌 있는 애들도 있어요 그래가지고
그렇게 관리를 조금 이렇게 해 주고 하는 고양이들은 보면,그렇게 관리를 쫌 이케 해 주고 하는 고양이들은 보면
그러는 게 조금 많은 거 같애요 그 저희 집 고양이들도,그러는 게 쫌 많은 거 같애요 그 저희 집 고양이들도
어 뭐 고양이들이 뭐 주인을 못 알아본다 이런 말을 조금 많이 하는데 저는 그게 아닌 거 같거든요,어 뭐 고양이들이 뭐 주인을 못 알아본다 이런 말을 쫌 많이 하는데 저는 그게 아닌 거 같거든요
조금 되게 똑똑해서,쫌 되게 똑똑해서
조금 자기 좀 예뻐해 주고 이러면은,쫌 자기 좀 예뻐해 주고 이러면은
조금 애교도 많고,쫌 애교도 많고
조금 비싸게 원래는 해야 되는데 이모가 주니까 그냥 데리고 왔는 건데,쫌 비싸게 원래는 해야 되는데 이모가 주니까 그냥 데리고 왔는 건데
